WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
HOTEL,5.84,1.37,3.08,0.80,5.69,1.09,6.34,0.95,0.00
HOUSEHOLD,5.08,1.89,4.14,1.05,5.04,1.27,4.77,1.62,0.00
HOWL,5.42,1.42,2.69,0.62,4.47,1.37,4.46,1.63,0.00
HOWLER,3.59,1.73,4.78,1.06,3.59,1.25,3.69,1.72,1.95
HUE,4.05,1.63,5.44,0.98,3.74,1.56,4.14,1.71,0.46
HUMAN,5.49,1.64,3.69,1.02,5.96,1.19,6.14,1.24,0.00
HUMANKIND,4.32,1.93,5.14,1.03,3.51,1.48,4.37,1.81,0.00
HUMOUR,4.65,1.73,4.17,1.01,5.49,1.04,3.29,1.67,0.55
HUMP,5.11,1.80,3.69,0.70,4.08,1.18,5.40,1.13,1.55
HUNGER,5.70,1.39,2.75,0.76,5.94,0.90,4.06,1.74,0.00
HUNTER,5.70,1.49,3.42,0.98,4.28,1.47,5.60,1.42,0.00
HURT,4.72,1.69,2.19,0.74,5.98,1.07,3.69,1.79,0.00
HUSH,4.73,1.77,2.46,1.10,4.15,1.61,4.03,1.75,0.00
HUZZA,1.62,1.57,6.67,0.88,1.31,0.61,3.50,2.14,0.00
HYGIENE,4.65,1.76,4.81,0.81,4.93,1.19,3.49,1.65,0.00
HYPOTHESIS,3.40,1.92,6.44,0.91,4.72,1.60,2.26,1.32,0.00
ICE,6.41,0.82,2.61,0.76,5.64,1.24,6.57,0.80,0.00
IDEAL,3.49,1.76,4.61,1.06,5.38,1.08,2.31,1.55,0.55
IDENTIFICATION,3.51,1.83,5.28,0.93,4.51,1.34,2.77,1.53,0.00
IDLENESS,3.38,1.68,5.03,1.07,4.14,1.38,2.29,1.28,0.00
IGNITION,4.41,1.78,5.00,1.25,4.31,1.35,4.14,1.51,0.00
ILLITERACY,3.54,1.82,5.78,0.89,4.13,1.28,2.40,1.57,0.00
ILLUSION,4.14,1.83,5.42,0.98,4.61,1.32,2.14,1.27,0.29
IMAGINATION,3.78,1.79,4.08,0.92,5.88,1.06,2.31,1.74,0.00
IMITATOR,3.89,2.04,5.03,1.14,3.83,1.34,4.29,1.89,0.00
IMMENSITY,4.08,1.95,5.67,0.91,3.88,0.96,2.51,1.27,0.00
IMMORTALITY,3.54,1.87,5.92,1.04,4.24,1.31,1.91,1.30,0.00
IMMUNITY,3.65,1.98,5.89,0.92,4.14,1.28,2.83,1.61,0.00
IMPATIENCE,4.19,1.87,4.25,0.89,5.30,1.15,2.46,1.23,0.00
IMPEDIMENT,3.54,1.65,6.19,0.74,3.64,1.25,3.60,1.66,0.97
IMPERFECTION,3.97,1.95,5.31,0.94,4.14,1.16,2.74,1.75,0.00
IMPERSONATION,3.81,1.75,5.22,0.92,4.14,1.38,3.29,1.73,0.00
IMPETUS,2.78,1.73,6.44,0.69,3.53,1.30,2.69,1.43,0.00
IMPORTANCE,3.53,1.89,4.06,0.97,5.75,1.11,2.31,1.28,0.00
IMPOSSIBLE,3.14,1.89,3.58,0.86,6.08,1.31,1.79,1.05,0.00
